Producto,Rol,Modulo,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar
Sixty,admin_total,*,1,1,1,1,1,1,1
Sixty,contabilidad,dashboard,1,0,0,0,0,1,0
Sixty,contabilidad,earning-report,1,0,0,0,0,1,0
Sixty,contabilidad,cash-out-list,1,0,0,0,0,1,0
Sixty,contabilidad,world-currency-list,1,0,0,0,0,1,0
Sixty,contabilidad,vehicle-commission-rates,1,0,0,0,0,1,0
Sixty,contabilidad,service-settings,1,0,0,0,0,1,0
Sixty,contabilidad,referral-history,1,0,0,0,0,1,0
Sixty,socio,dashboard,1,1,1,0,0,0,0
Sixty,socio,transport-providers-list,1,1,1,0,0,0,0
Sixty,socio,customer-list,1,1,1,0,0,0,0
Sixty,socio,ride-list,1,1,1,0,0,0,0
Sixty,socio,earning-report,1,1,1,0,0,0,0
Sixty,socio,heat-map,1,1,1,0,0,0,0
Sixty,socio,search-radius,1,1,1,0,0,0,0
Sixty,socio,geo-fencing-list,1,1,1,0,0,0,0
Sixty,desarrollador,dashboard,1,0,0,0,0,0,1
Sixty,desarrollador,app-version-setting,1,0,0,0,0,0,1
Sixty,desarrollador,site-setting,1,0,0,0,0,0,1
Sixty,desarrollador,support-page-list,1,0,0,0,0,0,1
Sixty,desarrollador,push-notification,1,0,0,0,0,0,1
Sixty,desarrollador,api-keys,1,0,0,0,0,0,1
Sixty,desarrollador,audit-logs,1,0,0,0,0,0,1
Sixty,desarrollador,security,1,0,0,0,0,0,1
Sixty,aprobaciones,dashboard,1,0,0,0,1,0,0
Sixty,aprobaciones,pending-provider-list,1,0,0,0,1,0,0
Sixty,aprobaciones,pending-transport-provider-list,1,0,0,0,1,0,0
Sixty,aprobaciones,pending-delivery-person-list,1,0,0,0,1,0,0
Sixty,aprobaciones,transport-providers-list,1,0,0,0,1,0,0
Sixty,aprobaciones,driver-documents,1,0,0,0,1,0,0
Sixty,soporte,dashboard,1,1,1,0,0,0,0
Sixty,soporte,customer-list,1,1,1,0,0,0,0
Sixty,soporte,transport-providers-list,1,1,1,0,0,0,0
Sixty,soporte,ride-list,1,1,1,0,0,0,0
Sixty,soporte,sos-list,1,1,1,0,0,0,0
Sixty,soporte,support-page-list,1,1,1,0,0,0,0
Sixty,soporte,push-notification,1,1,1,0,0,0,0
Sixty,soporte,report-issue,1,1,1,0,0,0,0
Sixty,marketing,dashboard,1,1,1,0,0,0,0
Sixty,marketing,push-notification,1,1,1,0,0,0,0
Sixty,marketing,support-page-list,1,1,1,0,0,0,0
Sixty,marketing,referral-history,1,1,1,0,0,0,0
Sixty,marketing,coupon-deals,1,1,1,0,0,0,0
Sixty,marketing,promotions,1,1,1,0,0,0,0
