Producto,Rol,Modulo,Seccion,En_Menu,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar,Virtual,Diferido
XISTI,admin_total,*,"Todos los módulos activos",1,1,1,1,1,1,1,1,0,0
XISTI,contabilidad,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
XISTI,contabilidad,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
XISTI,contabilidad,cash-out-list,"Retiros (cash-out)",1,1,0,0,0,0,1,0,0,0
XISTI,contabilidad,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
XISTI,contabilidad,customer-list,Clientes,0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,dashboard,Dashboard,0,1,0,0,0,0,1,0,1,0
XISTI,contabilidad,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,earning-report,"Reporte de ganancias",1,1,0,0,0,0,1,0,0,0
XISTI,contabilidad,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
XISTI,contabilidad,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
XISTI,contabilidad,push-notification,"Notificaciones push",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,referral-history,Referidos,1,1,0,0,0,0,1,0,0,0
XISTI,contabilidad,report-issue,"Reportar problema",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,ride-list,Viajes,0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
XISTI,contabilidad,security,Seguridad,0,0,0,0,0,0,0,0,1,0
XISTI,contabilidad,service-settings,"Configuración de servicio",1,1,0,0,0,0,1,0,0,0
