Producto,Rol,Modulo,Seccion,En_Menu,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar,Virtual,Diferido
ZIMO,admin_total,*,"Todos los módulos activos",1,1,1,1,1,1,1,1,0,0
ZIMO,contabilidad,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,cash-out-list,"Retiros (cash-out)",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
ZIMO,contabilidad,customer-list,Clientes,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,dashboard,Dashboard,0,1,0,0,0,0,1,0,1,0
ZIMO,contabilidad,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,earning-report,"Reporte de ganancias",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
ZIMO,contabilidad,push-notification,"Notificaciones push",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,referral-history,Referidos,1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,report-issue,"Reportar problema",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,ride-list,Viajes,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,security,Seguridad,0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,service-settings,"Configuración de servicio",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,site-setting,"Configuración del sitio",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,sos-list,SOS,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,support-page-list,"Páginas de soporte",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,transport-providers-list,"Conductores (aprobados)",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,vehicle-commission-rates,"Comisiones por vehículo",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,vehicle-services,"Servicios de vehículo",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,vehicle-type,"Tipos de vehículo",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,world-currency-list,Monedas,1,1,0,0,0,0,1,0,0,0
ZIMO,socio,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
ZIMO,socio,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
